"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2020","297.9223","301.5198","302.2094","290.5121","-","-1.19%"
"May 26, 2020","303.4941","297.9222","305.3781","297.9222","-","1.87%"
"May 27, 2020","297.2962","303.4941","303.4941","295.3452","-","-2.04%"
"May 28, 2020","299.5133","297.2961","301.8986","292.7368","-","0.75%"
"May 29, 2020","307.0756","299.5133","308.0562","295.3924","-","2.52%"
"Jun 01, 2020","307.3452","307.0756","308.5080","302.5725","-","0.09%"
"Jun 02, 2020","312.6686","307.3452","313.0161","307.3353","-","1.73%"
"Jun 03, 2020","313.9073","312.6686","316.6840","309.5182","-","0.40%"
"Jun 04, 2020","316.0031","313.9073","316.4641","310.8318","-","0.67%"
"Jun 05, 2020","325.5440","316.5071","326.2749","315.5921","-","3.02%"
"Jun 08, 2020","321.6347","326.0715","329.9132","321.0280","-","-1.20%"
"Jun 09, 2020","324.4112","322.2041","324.8450","317.9967","-","0.86%"
"Jun 10, 2020","327.4321","325.0161","328.5574","321.6543","-","0.93%"
"Jun 11, 2020","314.7936","327.9680","327.9680","311.4632","-","-3.86%"
"Jun 12, 2020","314.2780","314.7936","318.6458","307.8075","-","-0.16%"
"Jun 15, 2020","317.1989","314.2780","317.6855","307.1388","-","0.93%"
"Jun 16, 2020","322.3115","317.1989","325.9218","315.7414","-","1.61%"
"Jun 17, 2020","321.6329","322.3115","323.9590","318.1311","-","-0.21%"
"Jun 18, 2020","324.3986","321.6329","324.7011","318.6984","-","0.86%"
"Jun 19, 2020","327.6412","324.3986","330.6920","323.3042","-","1.00%"
"Jun 22, 2020","330.6343","327.6412","330.7319","325.7495","-","0.91%"
"Jun 23, 2020","329.7729","330.6343","333.8396","326.0308","-","-0.26%"
"Jun 24, 2020","319.0248","329.7729","330.3315","316.9752","-","-3.26%"
"Jun 25, 2020","320.2190","319.0248","321.6449","314.5014","-","0.37%"
"Jun 26, 2020","318.0920","320.2190","323.1690","315.4759","-","-0.66%"
"Jun 29, 2020","324.5144","318.0920","325.1877","314.7787","-","2.02%"
"Jun 30, 2020","325.4830","324.5656","328.4216","322.4599","-","0.30%"
"Jul 01, 2020","328.7351","325.4830","331.3823","324.6850","-","1.00%"
"Jul 02, 2020","332.8598","328.7350","333.1559","327.7265","-","1.25%"
"Jul 06, 2020","334.2789","332.8597","336.1617","332.1223","-","0.43%"
"Jul 07, 2020","335.1787","334.2789","336.4244","331.0790","-","0.27%"
"Jul 08, 2020","337.2498","335.5139","337.8095","334.1185","-","0.62%"
"Jul 09, 2020","333.8752","337.6477","339.2362","333.3740","-","-1.00%"
"Jul 10, 2020","337.9027","334.2763","338.5405","330.1991","-","1.21%"
"Jul 13, 2020","336.2373","338.2954","338.4336","334.8569","-","-0.49%"
"Jul 14, 2020","335.7505","336.6274","337.5745","331.6332","-","-0.14%"
"Jul 15, 2020","339.9535","335.7505","340.1167","334.7098","-","1.25%"
"Jul 16, 2020","338.3038","339.9535","340.0564","337.5302","-","-0.49%"
"Jul 17, 2020","337.4588","338.3038","338.8331","335.0988","-","-0.25%"
"Jul 20, 2020","337.2982","337.4588","337.8582","333.1330","-","-0.05%"
"Jul 21, 2020","343.2018","337.2981","345.1483","336.9467","-","1.75%"
"Jul 22, 2020","343.6721","343.2018","344.0107","339.4385","-","0.14%"
"Jul 23, 2020","341.6595","343.6721","346.3181","341.0411","-","-0.59%"
"Jul 24, 2020","342.0064","341.6595","343.0857","339.4074","-","0.10%"
"Jul 27, 2020","342.5579","342.0064","344.2609","339.0261","-","0.16%"
"Jul 28, 2020","341.3616","342.5579","345.1470","340.3559","-","-0.35%"
"Jul 29, 2020","343.3767","341.3669","343.9852","340.9953","-","0.59%"
